date,lat,lon,temp_c,rel_humidity_pct,wind_speed_ms,precip_mm,vpd_kpa,fwi,ndvi,ndmi,lfmc_proxy_pct,elevation_m,slope_pct,aspect_deg,target_ros_m_min
2024-10-01,19.374074,-155.144672,22.97,86.91,4.13,2.55,0.36708861164822437,0.31199522770972543,0.5574324324324325,0.2091803278688525,30.599999999999998,784.0,2.0671701431274414,281.3099365234375,0.4295
2024-10-01,67.983993,76.282563,3.13,93.25,6.47,4.17,0.05162306976007791,0.007980966724863753,0.48654931916306865,0.007881107858590352,87.6,29.0,1.282004475593567,71.56504821777344,0.4974
2024-10-01,67.84338,75.97797,3.13,93.25,6.47,4.17,0.05162306976007791,0.007980966724863753,0.4804171494785632,0.0217530390275112,87.0,35.0,1.282004475593567,161.56504821777344,0.252
2024-10-01,67.01571,76.188592,2.89,93.81,6.49,4.85,0.04654080957381401,0.004250478147450591,0.270753064798599,-0.0939060939060939,91.2,57.0,1.282004475593567,161.56504821777344,0.2297
2024-10-01,66.956987,75.54248,2.9,93.69,6.7,4.97,0.04747676702236481,0.003953558587818585,0.33031674208144796,-0.34763313609467456,92.39999999999999,87.0,3.846013307571411,18.434947967529297,0.1767
2024-10-01,65.56183,22.22479,8.52,80.68,4.62,0.83,0.21471464226452142,0.7087490603594055,0.25262576008844667,0.10861056751467714,72.0,12.0,3.087475538253784,66.80140686035156,0.3139
2024-10-01,64.66416,21.28206,7.97,86.99,2.71,0.18,0.13928231330226137,1.563458984954222,0.20821917808219173,-0.09352517985611515,57.599999999999994,14.0,35.01538848876953,132.1844482421875,0.0527
2024-10-01,55.413708,43.404487,11.23,85.35,3.64,0.07,0.19527261763739912,1.6591101766837866,0.4350775193798449,-0.03737406564835882,63.0,111.0,4.622332572937012,142.12501525878906,0.3083
2024-10-01,59.38537,28.46212,5.78,80.92,0.92,,0.17571954370263598,,0.4161451814768461,0.12251984126984126,93.0,32.0,6.536965847015381,29.74488067626953,0.1228
2024-10-01,59.52771,34.14914,5.04,81.83,0.17,0.03,0.1589420039553281,1.3619422076432715,0.305703422053232,0.039975772259236875,82.8,183.0,11.538040161132812,18.434947967529297,1.4482
2024-10-01,56.06923,43.5957,10.75,86.35,4.13,0.05,0.17622944355129144,1.7102957828340164,0.6214595134955014,0.14332706766917291,81.6,138.0,7.649173736572266,32.0053825378418,0.2047
2024-10-01,52.68636,41.55072,16.26,33.43,3.75,,1.23068208359094,,0.5499334221038615,0.16789297658862873,65.39999999999999,159.0,17.333154678344727,280.7843017578125,0.2242
2024-10-01,53.0661,42.60323,15.77,35.1,3.47,,1.1628430234380802,,0.26942425936277253,-0.13633770678836277,50.4,196.0,1.282004475593567,18.434947967529297,0.1484
2024-10-01,52.25121,44.05284,15.38,36.62,3.54,,1.1075763886088608,,0.4222642699463892,-0.01892538612138354,43.8,217.0,1.81302809715271,153.43495178222656,1.3284
2024-10-01,51.593872,43.26887,15.93,34.52,3.88,,1.1853011406190774,,0.6200197563384919,0.13337940566689704,40.199999999999996,110.0,1.7199894189834595,225.0,0.6204
2024-10-01,51.6174,40.7883,16.77,32.09,4.15,,1.2968538434019987,,0.20902612826603326,-0.22369089984748353,47.4,152.0,4.93196964263916,170.5376739501953,1.9385
